state,county,NAME,housing_units,occupied_housing_units,vacant_housing_units,owner_occupied_units,renter_occupied_units,median_home_value,median_gross_rent,average_household_size
48,163,"Frio County, Texas",6393,5437,956,3205,2232,107700,1016,3.0
48,165,"Gaines County, Texas",7719,6929,790,5171,1758,200700,789,3.18
48,167,"Galveston County, Texas",161868,140660,21208,95138,45522,314600,1404,2.51
48,169,"Garza County, Texas",2190,1463,727,1032,431,77800,838,2.6
48,171,"Gillespie County, Texas",14373,11513,2860,8624,2889,460700,1340,2.36
48,173,"Glasscock County, Texas",513,460,53,315,145,245200,648,2.32
48,175,"Goliad County, Texas",3547,2811,736,2441,370,192500,754,2.5
48,177,"Gonzales County, Texas",9020,7926,1094,5248,2678,159100,840,2.46
48,179,"Gray County, Texas",9952,7991,1961,6103,1888,102900,933,2.42
48,181,"Grayson County, Texas",62132,55248,6884,36895,18353,248400,1310,2.55
48,183,"Gregg County, Texas",53883,48277,5606,29127,19150,203400,1102,2.51
48,185,"Grimes County, Texas",12349,10255,2094,8196,2059,237400,1069,2.71
48,187,"Guadalupe County, Texas",69700,65424,4276,50915,14509,304400,1517,2.78
48,189,"Hale County, Texas",13392,11024,2368,6674,4350,116500,836,2.73
48,191,"Hall County, Texas",1739,1169,570,860,309,86100,529,2.36
48,193,"Hamilton County, Texas",4372,3120,1252,2455,665,147700,885,2.61
48,195,"Hansford County, Texas",2275,1858,417,1508,350,124800,939,2.72
48,197,"Hardeman County, Texas",1808,1230,578,909,321,81900,684,2.82
48,199,"Hardin County, Texas",25100,22222,2878,18294,3928,205700,1049,2.57
48,201,"Harris County, Texas",1917790,1757164,160626,961437,795727,276600,1401,2.73
48,203,"Harrison County, Texas",29756,26287,3469,20205,6082,180400,974,2.59
48,205,"Hartley County, Texas",1814,1633,181,1215,418,262500,1028,2.34
48,207,"Haskell County, Texas",3081,2123,958,1564,559,98700,782,2.46
48,209,"Hays County, Texas",104675,99849,4826,64042,35807,399800,1495,2.61
48,211,"Hemphill County, Texas",1763,1476,287,1049,427,205700,836,2.16
48,213,"Henderson County, Texas",41852,33575,8277,26126,7449,211300,1048,2.49
