state,county,NAME,population_16_plus,labor_force,employed,unemployed
48,243,"Jeff Davis County, Texas",1549,767,767,0
48,245,"Jefferson County, Texas",197877,110898,103897,7001
48,247,"Jim Hogg County, Texas",3303,1918,1797,121
48,249,"Jim Wells County, Texas",29529,16387,15388,999
48,251,"Johnson County, Texas",151441,96736,93233,3503
48,253,"Jones County, Texas",17288,6995,6608,387
48,255,"Karnes County, Texas",12317,5509,5347,162
48,257,"Kaufman County, Texas",128206,87474,82832,4642
48,259,"Kendall County, Texas",39169,23310,22206,1104
48,261,"Kenedy County, Texas",125,56,56,0
48,263,"Kent County, Texas",654,295,270,25
48,265,"Kerr County, Texas",45030,24951,24129,822
48,267,"Kimble County, Texas",3747,2050,2024,26
48,269,"King County, Texas",180,100,100,0
48,271,"Kinney County, Texas",2931,1612,1597,15
48,273,"Kleberg County, Texas",23974,14282,13184,1098
48,275,"Knox County, Texas",2540,1485,1466,19
48,277,"Lamar County, Texas",39792,23915,22948,967
48,279,"Lamb County, Texas",9791,5873,5752,121
48,281,"Lampasas County, Texas",18431,9779,9341,438
48,283,"La Salle County, Texas",5710,2257,2216,41
48,285,"Lavaca County, Texas",16267,9630,9336,294
48,287,"Lee County, Texas",14631,8770,8199,571
48,289,"Leon County, Texas",12893,6596,6321,275
48,291,"Liberty County, Texas",75797,41574,38617,2957
48,293,"Limestone County, Texas",17794,8808,8480,328
48,295,"Lipscomb County, Texas",2125,1247,1166,81
48,297,"Live Oak County, Texas",9602,4131,3888,243
48,299,"Llano County, Texas",19375,9439,9027,412
48,301,"Loving County, Texas",33,26,26,0
48,303,"Lubbock County, Texas",252901,166217,158006,8211
48,305,"Lynn County, Texas",4339,2646,2548,98
48,307,"McCulloch County, Texas",6232,3617,3290,327
48,309,"McLennan County, Texas",209308,131587,125727,5860
48,311,"McMullen County, Texas",438,231,231,0
48,313,"Madison County, Texas",10975,5634,5232,402
48,315,"Marion County, Texas",8316,4146,3786,360
48,317,"Martin County, Texas",3982,2570,2432,138
48,319,"Mason County, Texas",3312,1517,1471,46
48,321,"Matagorda County, Texas",28146,17122,15635,1487
48,323,"Maverick County, Texas",42023,24417,22547,1870
48,325,"Medina County, Texas",43074,23062,22359,703
48,327,"Menard County, Texas",1573,852,760,92
48,329,"Midland County, Texas",129070,89931,86909,3022
48,331,"Milam County, Texas",20556,11965,11372,593
48,333,"Mills County, Texas",3717,2099,2032,67
48,335,"Mitchell County, Texas",7490,3997,3785,212
48,337,"Montague County, Texas",16854,8849,8224,625
48,339,"Montgomery County, Texas",528627,341352,325820,15532
48,341,"Moore County, Texas",15529,10155,9820,335
48,343,"Morris County, Texas",9602,5257,4883,374
48,345,"Motley County, Texas",1066,634,628,6
48,347,"Nacogdoches County, Texas",51569,31734,29506,2228
48,349,"Navarro County, Texas",41664,25064,23954,1110
48,351,"Newton County, Texas",10083,5106,4684,422
48,353,"Nolan County, Texas",11310,6684,6284,400
48,355,"Nueces County, Texas",278982,168725,160022,8703
48,357,"Ochiltree County, Texas",7176,4919,4905,14
48,359,"Oldham County, Texas",1656,872,857,15
48,361,"Orange County, Texas",66048,40141,37721,2420
48,363,"Palo Pinto County, Texas",23190,12969,12178,791
48,365,"Panola County, Texas",18133,9965,9718,247
48,367,"Parker County, Texas",128859,84349,80995,3354
48,369,"Parmer County, Texas",7449,4682,4558,124
48,371,"Pecos County, Texas",11790,6343,6181,162
48,373,"Polk County, Texas",43314,21081,19378,1703
48,375,"Potter County, Texas",88448,51868,49880,1988
48,377,"Presidio County, Texas",4548,2610,2435,175
48,379,"Rains County, Texas",10573,5557,5376,181
48,381,"Randall County, Texas",115469,77237,74990,2247
48,383,"Reagan County, Texas",2291,1429,1358,71
48,385,"Real County, Texas",2231,725,725,0
