state,county,NAME,population_25_plus,bachelors,masters,professional,doctorate
48,257,"Kaufman County, Texas",108495,20344,7094,585,723
48,259,"Kendall County, Texas",34029,10874,4279,924,562
48,261,"Kenedy County, Texas",123,5,10,0,1
48,263,"Kent County, Texas",605,106,44,7,2
48,265,"Kerr County, Texas",39521,7540,3309,873,657
48,267,"Kimble County, Texas",3372,623,254,37,0
48,269,"King County, Texas",180,61,9,0,0
48,271,"Kinney County, Texas",2556,260,42,0,0
48,273,"Kleberg County, Texas",17099,2518,1171,40,241
48,275,"Knox County, Texas",2273,238,59,3,7
48,277,"Lamar County, Texas",34480,4909,1986,281,263
48,279,"Lamb County, Texas",8134,790,323,31,21
48,281,"Lampasas County, Texas",16111,2762,788,150,210
48,283,"La Salle County, Texas",4277,263,230,12,0
48,285,"Lavaca County, Texas",14339,2236,811,104,36
48,287,"Lee County, Texas",12498,1995,367,220,28
48,289,"Leon County, Texas",11541,1402,623,21,95
48,291,"Liberty County, Texas",62964,5088,1810,223,342
48,293,"Limestone County, Texas",15718,2027,681,79,126
48,295,"Lipscomb County, Texas",1794,327,65,4,5
48,297,"Live Oak County, Texas",8534,816,402,33,108
48,299,"Llano County, Texas",17742,3970,1016,587,168
48,301,"Loving County, Texas",31,0,0,0,0
48,303,"Lubbock County, Texas",191721,38664,16783,3808,4860
48,305,"Lynn County, Texas",3754,615,346,10,34
48,307,"McCulloch County, Texas",5366,820,413,18,33
48,309,"McLennan County, Texas",164313,28389,12693,2836,3216
48,311,"McMullen County, Texas",389,75,3,0,0
48,313,"Madison County, Texas",9197,1326,218,81,63
48,315,"Marion County, Texas",7329,943,149,27,24
48,317,"Martin County, Texas",3372,614,81,5,6
48,319,"Mason County, Texas",2963,711,286,144,10
48,321,"Matagorda County, Texas",24238,3419,1621,170,160
48,323,"Maverick County, Texas",33789,3375,796,570,81
48,325,"Medina County, Texas",36480,5359,2743,226,106
48,327,"Menard County, Texas",1514,252,93,18,0
48,329,"Midland County, Texas",109040,23321,8205,1536,778
